Unique Identifier;Metal;Support;Weight loading [%];Molecular Weight of Active component [g mol-1];Catalyst ID;Active Site Density [µmol gcat-1];Dispersion [%];Method of determining Active Site Density;Pellet Diameter [µm];Weight Hourly Space Velocity [gCH3OH gcat-1 hr-1];Temperature [K];Total Pressure [kPa];Inlet Inert Used;Inert, Inlet Mole fraction [%] ;CO, Inlet Mole fraction [%];CH4, Inlet Mole Fraction [%];Methanol, Inlet Mole fraction [%];Inlet P,Methanol [kPa];Inlet Inert Flow Rate [sccm];Total Inlet Flow Rate [mol/hr];Reactor Configuration;Reactor ID;Rate [μmol product gcat-1min-1];Confidence Interval for Rate [μmol gcat-1 min-1];STY [mol product mol active site-1 hr-1 ];Selectivity CO [%];Selectivity CH4 [%];Selectivity CO2 [%];Conversion [%];Data Source;Data Submitted By;Funding Agency;Funding Identifier;;;;;;;;;;;
MDH-0001;Platinum;Silica;1.0;195.08;Cat_M_000001;14.7;30.1;CO dynamic chemisorption;106 - 250;13;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;16.04;2.10;65.66;82;3;15;0.22;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0002;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;89.40;0.00;0.00;10.60;10.74;60;0.18;Downflow, Packed Bed;PBR_000002;29.37;NA;131.00;91;9;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0003;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;423;101.33;Helium;97.50;0.00;0.00;2.50;2.53;60;0.16;Downflow, Packed Bed;PBR_000002;1.86;NA;8.30;87;13;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0004;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;423;101.33;Helium;90.10;0.00;0.00;9.90;10.03;60;0.18;Downflow, Packed Bed;PBR_000002;2.35;NA;10.50;86;14;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0005;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;448;101.33;Helium;97.20;0.00;0.00;2.80;2.84;60;0.17;Downflow, Packed Bed;PBR_000002;7.44;NA;33.20;91;9;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0006;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;448;101.33;Helium;90.00;0.00;0.00;10.00;10.13;60;0.18;Downflow, Packed Bed;PBR_000002;9.62;NA;42.90;90;10;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0007;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;473;101.33;Helium;97.20;0.00;0.00;2.80;2.84;60;0.17;Downflow, Packed Bed;PBR_000002;23.86;NA;106.40;92;8;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0008;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;97.60;0.00;0.00;2.40;2.43;60;0.16;Downflow, Packed Bed;PBR_000002;44.69;NA;199.30;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0009;Platinum;Silica;3.1;195.08;Cat_M_000002;14.0;8.5;CO static chemisorption;<1000;NA;498;101.33;Helium;89.80;0.00;0.00;10.20;10.34;60;0.18;Downflow, Packed Bed;PBR_000002;67.20;NA;299.70;93;7;0;<5;10.1007/s11244-006-0001-1;0000-0002-9114-555X;National Science Foundation;CTS-0327959;;;;;;;;;;;
MDH-0010;Iridium;Carbon;1.0;192.22;Cat_M_000003;7.9;15.1;CO dynamic chemisorption;106 - 250;17;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;12.10;3.46;92.39;78;0;22;0.19;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0011;Platinum;Carbon;5.0;195.08;Cat_M_000004;73.0;28.5;CO dynamic chemisorption;106 - 250;15;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;53.37;14.54;43.84;97;0;3;0.62;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0012;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;16.48;1.92;18.30;97;0;3;0.29;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0013;Ruthenium;Carbon;5.0;101.07;Cat_M_000006;103.9;21.0;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;127.14;23.25;73.43;96;0;4;1.46;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0014;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;6.86;1.92;7.62;98;0;2;0.30;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0015;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;10.51;1.92;11.67;99;0;1;0.54;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0016;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;24.91;1.92;27.66;99;0;1;1.29;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0017;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;35.64;1.92;39.58;99;0;1;1.60;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0018;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;21.65;1.92;24.04;99;0;1;0.87;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0019;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;19.19;1.92;21.31;99;0;1;0.94;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0020;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;473;102.73;Nitrogen;86.58;0.00;0.00;13.42;13.79;43;0.13;Downflow, Packed Bed;PBR_000001;15.04;1.92;16.70;99;0;1;0.82;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0021;Palladium;Carbon;5.0;106.42;Cat_M_000005;54.0;11.5;CO dynamic chemisorption;106 - 250;9;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;14.69;1.92;16.31;99;0;1;1.10;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0022;Rhodium;Carbon;5.0;102.91;Cat_M_000007;290.1;59.7;CO dynamic chemisorption;106 - 250;12;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;25.08;5.04;5.19;95;0;5;0.40;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0023;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.44;0.21;3.85;64;0;36;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0024;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.26;0.21;2.29;54;0;46;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0025;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.33;0.21;2.90;60;0;40;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0026;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.55;0.21;4.82;70;0;30;0.02;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0027;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.69;0.21;6.04;74;0;26;0.02;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0028;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;0.24;0.21;2.14;67;0;33;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0029;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;0.32;0.21;2.78;68;0;32;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0030;Gold;Carbon;5.0;196.97;Cat_M_000008;6.9;2.7;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;0.58;0.21;5.09;67;0;33;0.04;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0031;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.28;0.09;0.32;57;0;43;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0032;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.17;0.09;0.19;39;0;61;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0033;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.20;0.09;0.24;45;0;55;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0034;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.36;0.09;0.42;62;0;38;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0035;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.46;0.09;0.54;68;0;32;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0036;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;97.53;0.00;0.00;2.47;2.54;263;0.72;Downflow, Packed Bed;PBR_000001;0.16;0.09;0.18;51;0;49;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0037;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;95.05;0.00;0.00;4.95;5.09;128;0.36;Downflow, Packed Bed;PBR_000001;0.20;0.09;0.23;51;0;49;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0038;Silver;Carbon;5.0;107.87;Cat_M_000009;51.5;11.1;Transmission Electron Microscopy;106 - 250;10;473;102.73;Nitrogen;80.20;0.00;0.00;19.80;20.34;27;0.09;Downflow, Packed Bed;PBR_000001;0.39;0.09;0.46;56;0;44;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0039;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;473;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.20;0.14;0.54;48;0;52;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0040;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;453;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.14;0.14;0.38;39;0;61;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0041;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;463;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.17;0.14;0.44;46;0;54;0.00;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0042;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;483;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.25;0.14;0.66;61;0;39;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
MDH-0043;Copper;Carbon;5.0;63.55;Cat_M_000011;22.8;2.9;Transmission Electron Microscopy;106 - 250;11;493;102.73;Nitrogen;90.01;0.00;0.00;9.99;10.27;60;0.18;Downflow, Packed Bed;PBR_000001;0.31;0.14;0.81;64;0;36;0.01;Abdelrahman Catalysis Research Laboratory;0009-0004-1407-1640;Department of Energy;DE-SC0023464;;;;;;;;;;;
